"state","puma2k","county14","stab","cntyname2","PUMA2kName","hus10","afact"
"State code","PUMA (2000)","county14","State abbreviation","2014 county name","PUMA 2K name","Total housing units (2010)","puma2k to county14 allocation factor"
"01","00100","01033","AL","Colbert AL","0100100",25758,0.37 
"01","00100","01077","AL","Lauderdale AL","0100100",43791,0.63 
"01","00200","01089","AL","Madison AL","0100200",81758,1 
"01","00300","01083","AL","Limestone AL","0100300",34977,0.351 
"01","00300","01089","AL","Madison AL","0100300",64689,0.649 
"01","00400","01049","AL","DeKalb AL","0100400",31109,0.557 
"01","00400","01071","AL","Jackson AL","0100400",24786,0.443 
"01","00500","01043","AL","Cullman AL","0100500",37054,0.408 
"01","00500","01095","AL","Marshall AL","0100500",40342,0.444 
"01","00500","01133","AL","Winston AL","0100500",13469,0.148 
"01","00600","01079","AL","Lawrence AL","0100600",15229,0.229 
"01","00600","01103","AL","Morgan AL","0100600",51193,0.771 
"01","00700","01057","AL","Fayette AL","0100700",8437,0.139 
"01","00700","01059","AL","Franklin AL","0100700",14022,0.231 
"01","00700","01075","AL","Lamar AL","0100700",7354,0.121 
"01","00700","01093","AL","Marion AL","0100700",14737,0.242 
"01","00700","01107","AL","Pickens AL","0100700",9483,0.156 
"01","00700","01119","AL","Sumter AL","0100700",6786,0.112 
"01","00800","01009","AL","Blount AL","0100800",23887,0.265 
"01","00800","01115","AL","St. Clair AL","0100800",35541,0.394 
"01","00800","01127","AL","Walker AL","0100800",30816,0.341 
"01","00901","01073","AL","Jefferson AL","0100901",47351,1 
"01","00902","01073","AL","Jefferson AL","0100902",49351,1 
"01","00903","01073","AL","Jefferson AL","0100903",77649,1 
"01","00904","01073","AL","Jefferson AL","0100904",78744,1 
"01","00905","01073","AL","Jefferson AL","0100905",47457,1 
"01","01000","01055","AL","Etowah AL","0101000",47454,1 
"01","01100","01015","AL","Calhoun AL","0101100",1,0 
"01","01100","01019","AL","Cherokee AL","0101100",16267,0.206 
"01","01100","01027","AL","Clay AL","0101100",6776,0.086 
"01","01100","01029","AL","Cleburne AL","0101100",6718,0.085 
"01","01100","01111","AL","Randolph AL","0101100",11982,0.152 
"01","01100","01121","AL","Talladega AL","0101100",37088,0.47 
"01","01200","01015","AL","Calhoun AL","0101200",53288,1 
"01","01300","01117","AL","Shelby AL","0101300",80970,1 
"01","01400","01125","AL","Tuscaloosa AL","0101400",84872,1 
"01","01500","01007","AL","Bibb AL","0101500",8981,0.158 
"01","01500","01047","AL","Dallas AL","0101500",20207,0.356 
"01","01500","01063","AL","Greene AL","0101500",5007,0.088 
"01","01500","01065","AL","Hale AL","0101500",7655,0.135 
